Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value
CHEMBL367442,,None,316.36,0,3.16,1m,Nc1ncnc2c1c(-c1ccccc1)cn2-c1ccc(CO)cc1,IC50,'=',30000,nM,4.52,,,UO_0000065,14.3,0.26,1.36,5.88,0,CHEMBL847140,Tested in vitro for inhibition of serine/threonine kinase Cdc2,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL308,Cyclin-dependent kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1133080,1,Scientific Literature,Bioorg Med Chem Lett,2000,None,,,
CHEMBL99803,,None,371.23,0,3.56,17e,O=C1Cc2c(n(CCO)c3ccc(Br)cc23)-c2ccccc2N1,IC50,'=',3000,nM,5.52,,,UO_0000065,14.88,0.33,1.96,10.18,0,CHEMBL662511,In vitro inhibitory activity against cyclin-dependent kinase 1-cyclin B (Cyclin-Dependent Kinase) harvested from starfish oocytes.,B,BAO_0000219,cell-based format,Asteroidea,None,None,Oocyte,None,,,,CHEMBL308,Cyclin-dependent kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1132322,1,Scientific Literature,J Med Chem,1999,CHEMBL3833641,,,
CHEMBL2062290,,None,598.48,0,4.51,SB-739245-AC,CCN1CCC(CC(=O)Nc2n[nH]c3nc(-c4cccs4)c(Br)cc23)CC1.O=C(O)C(O)C(O)C(=O)O,Inhibition,'=',0.69,%,,,,UO_0000187,,,,,0,CHEMBL1962018,GSK_PKIS: CDK1/cyclinB mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL308,Cyclin-dependent kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,
CHEMBL63728,GW644007X,None,326.36,0,2.57,GW644007X,COc1cc(/C=N/Nc2ncnc3c2cnn3C(C)C)ccc1O,Inhibition,'=',47.92,%,,,,UO_0000187,,,,,0,CHEMBL1962019,GSK_PKIS: CDK1/cyclinB mean inhibition at 1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL308,Cyclin-dependent kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,
CHEMBL189353,GW809897X,None,571.49,2,6.48,GW809897X,CN(c1ccc(NC(=O)Nc2c(Cl)cccc2Cl)cc1)c1ccnc(Nc2cccc(CS(C)(=O)=O)c2)n1,Inhibition,'=',3.72,%,,,,UO_0000187,,,,,0,CHEMBL1962019,GSK_PKIS: CDK1/cyclinB mean inhibition at 1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL308,Cyclin-dependent kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,
CHEMBL101804,,None,268.28,0,2.57,SB-743899,O=C(Nc1n[nH]c2nc(-c3ccco3)ccc12)C1CC1,Inhibition,'=',2.61,%,,,,UO_0000187,,,,,0,CHEMBL1962019,GSK_PKIS: CDK1/cyclinB mean inhibition at 1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL308,Cyclin-dependent kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,
CHEMBL409104,,None,408.44,0,2.89,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL270544,GW396574X,None,370.43,0,2.53,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL336556,,None,241.3,0,1.35,31,CN1CN=C(NCc2ccccc2)c2[nH]cnc21,IC50,'=',300000,nM,,Outside typical range,,UO_0000065,,,,,0,CHEMBL657992,Inhibitory activity against purified cdc2 p34/Cyclin B obtained from M phase oocytes of the starfish Marthasterias glacialis.,B,BAO_0000219,cell-based format,Asteroidea,None,None,Oocyte,None,,,,CHEMBL308,Cyclin-dependent kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1130316,1,Scientific Literature,J Med Chem,1997,CHEMBL3833641,,,
CHEMBL208637,,None,220.23,0,0.89,6a,CCOc1nc(NC(C)=O)cc(N)c1C#N,Ki,'>',8900,nM,,,,UO_0000065,,,,,0,CHEMBL860194,Inhibition of CDC2,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL308,Cyclin-dependent kinase 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1148638,1,Scientific Literature,J Med Chem,2006,None,,,
CHEMBL3264002,AVUTOMETINIB,2,471.47,0,2.68,Ro-5126766,CNS(=O)(=O)Nc1nccc(Cc2c(C)c3ccc(Oc4ncccn4)cc3oc2=O)c1F,Kd,'>',30000,nM,,,Inactive,UO_0000065,,,,,0,CHEMBL3991650,Kinobeads (epsilon),,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2219422,AFURESERTIB,2,427.33,0,3.89,GSK-2110183,Cn1ncc(Cl)c1-c1cc(C(=O)N[C@H](CN)Cc2cccc(F)c2)sc1Cl,Kd,'>',30000,nM,,,Inactive,UO_0000065,,,,,0,CHEMBL3991650,Kinobeads (epsilon),,,,,,,,,,,,,,,,,,,,,,,,
