"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL3215582";"";"None";"588.33";"1";"6.41";"1";"Cc1ccc2c(Nc3ccc(Cl)cc3)nccc2c1Nc1ncccc1-c1ncnc2[nH]cnc12.Cl.Cl.Cl";"Activity";"'='";"100.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1052890";"Inhibition of CDKL2 assessed as enzyme activity at 1 uM relative to untreated control";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5728";"Cyclin-dependent kinase-like 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155237";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";"";""
"CHEMBL1908394";"GSK-461364";"1.0";"543.62";"2";"5.09";"GSK-461364A";"C[C@@H](Oc1cc(-n2cnc3ccc(CN4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1C(F)(F)F";"Kd";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1908625";"Binding constant for CDKL2 kinase domain";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5728";"Cyclin-dependent kinase-like 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1908390";"1";"Scientific Literature";"Nat Biotechnol";"2011";"None";"";"";""
"CHEMBL502835";"NINTEDANIB";"4.0";"539.64";"1";"3.62";"BIBF-1120";"COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1";"Kd";"'='";"1300.0";"nM";"5.89";"";"";"UO_0000065";"10.91";"0.20";"2.27";"6.25";"0";"CHEMBL1908625";"Binding constant for CDKL2 kinase domain";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5728";"Cyclin-dependent kinase-like 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1908390";"1";"Scientific Literature";"Nat Biotechnol";"2011";"None";"";"";""
"CHEMBL4438748";"";"None";"457.49";"0";"4.13";"12j";"CN(C)c1ccc(C(=O)Nc2cccc(NC(=O)COc3ccc4c(=O)ccoc4c3)c2)cc1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL4379183";"Inhibition of recombinant full length human CDKL2 in presence of 10 uM ATP by radiometric scintillation counting analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5728";"Cyclin-dependent kinase-like 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4376834";"1";"Scientific Literature";"J Med Chem";"2019";"None";"";"";""
"CHEMBL386051";"";"None";"443.36";"1";"5.77";"PD-173955";"CSc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1";"Kd";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1908625";"Binding constant for CDKL2 kinase domain";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5728";"Cyclin-dependent kinase-like 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1908390";"1";"Scientific Literature";"Nat Biotechnol";"2011";"None";"";"";""
"CHEMBL1721885";"SU-014813";"2.0";"442.49";"0";"1.69";"SU-14813";"Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1";"Kd";"'='";"3900.0";"nM";"5.41";"";"";"UO_0000065";"12.22";"0.23";"3.72";"5.07";"0";"CHEMBL1908625";"Binding constant for CDKL2 kinase domain";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5728";"Cyclin-dependent kinase-like 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1908390";"1";"Scientific Literature";"Nat Biotechnol";"2011";"None";"";"";""
"CHEMBL4555459";"";"None";"481.60";"1";"5.59";"43";"O=C(Nc1cccc([C@H]2CCCN(c3ncnc4[nH]ccc34)C2)c1)Nc1ccccc1N1CCCC1";"Inhibition";"'='";"38.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4389158";"Inhibition of wild-type human partial length CDKL2 (M1 to D327 residues) expressed in bacterial expression system at 10 uM by Kinomescan method relative to control";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5728";"Cyclin-dependent kinase-like 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4387741";"1";"Scientific Literature";"Bioorg Med Chem";"2019";"None";"";"";""
"CHEMBL4096145";"";"None";"377.49";"0";"3.42";"2";"CC1(C)[C@H](Nc2c(C(N)=O)cnn3cc(-c4ccccc4)cc23)CC[C@]1(C)N";"Activity";"'='";"86.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4055047";"Inhibition of wild-type human partial length CDKL2 (M1 to D327 residues) expressed in bacterial expression system assessed as residual activity at 50 nM by Kinomescan method relative to control";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5728";"Cyclin-dependent kinase-like 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4052645";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2017";"None";"";"";""
"CHEMBL1163566";"";"None";"488.95";"0";"4.66";"5n";"FC(F)(F)c1ccc(Cl)cc1CN1CCNc2ncc(-c3ccnc(N4CCNCC4)c3)cc21";"Inhibition";"'<'";"50.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1168826";"Inhibition of CDKL2 at 1 uM";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5728";"Cyclin-dependent kinase-like 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1165965";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"None";"";"";""
"CHEMBL1240703";"CGP-52421";"None";"586.65";"2";"5.40";"CGP-52421";"CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@H]4O";"Kd";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1244764";"Binding affinity to CDKL2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL5728";"Cyclin-dependent kinase-like 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1240346";"1";"Scientific Literature";"Blood";"2009";"None";"";"";""
