"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL596953";"";"None";"306.39";"0";"4.16";"17";"Cc1nc2ccc3cnc(NCc4ccccc4)nc3c2s1";"Ki";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1064247";"inhibition of CDK1/Cyclin B";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1907602";"Cyclin-dependent kinase 1/cyclin B1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1157567";"1";"Scientific Literature";"J Med Chem";"2010";"None";"";"";""
"CHEMBL599224";"";"None";"369.43";"0";"0.50";"50";"CC(=O)N1CCC(Nc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)CC1";"IC50";"'='";"5.0";"nM";"8.30";"";"";"UO_0000065";"22.47";"0.42";"7.80";"6.97";"0";"CHEMBL1072182";"Inhibition of CDK1/Cyclin B";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1907602";"Cyclin-dependent kinase 1/cyclin B1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1157561";"1";"Scientific Literature";"J Med Chem";"2010";"None";"";"";""
"CHEMBL213302";"";"None";"312.80";"0";"4.14";"7, CA223";"CN(CCc1c[nH]c2ccccc12)C(=O)c1ccc(Cl)cc1";"IC50";"'>'";"500000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3375309";"Binding affinity to human CDK1/cyclinB1";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1907602";"Cyclin-dependent kinase 1/cyclin B1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL3351368";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";"";""
"CHEMBL405773";"";"None";"255.28";"0";"1.82";"32, page S9 table 3";"Cc1cccc(COc2nc(N)nc3nc[nH]c23)c1";"Inhibition";"'='";"70.0";"%";"";"";"";"UO_0000187";"";"";"";"";"1";"CHEMBL952113";"Inhibition of CDK1/Cyclin B at 100 uM";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1907602";"Cyclin-dependent kinase 1/cyclin B1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1143196";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";""
"CHEMBL71036";"";"None";"237.31";"0";"1.18";"16";"Nc1nc(N)c(N)c(OCC2CCCCC2)n1";"Inhibition";"'='";"40.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL666595";"Inhibition of Cyclin dependent kinase 1-cyclin B1 from starfish oocytes at 100 uM";"B";"BAO_0000219";"cell-based format";"Asteroidea";"None";"None";"Oocyte";"None";"";"";"";"CHEMBL1907602";"Cyclin-dependent kinase 1/cyclin B1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1136262";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"CHEMBL3833641";"";"";""
"CHEMBL479255";"";"None";"366.46";"0";"3.04";"6f";"COc1cc(O)c(C(=O)/C=C/c2ccccc2)cc1CN1CCN(C)CC1";"IC50";"'>'";"20000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL975428";"Inhibition of Cdk1/cyclin B";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1907602";"Cyclin-dependent kinase 1/cyclin B1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1155902";"1";"Scientific Literature";"Bioorg Med Chem";"2008";"None";"";"";""
"CHEMBL450358";"";"None";"311.38";"0";"3.36";"6a";"COc1cc(O)c(C(=O)/C=C/c2ccccc2)cc1CN(C)C";"IC50";"'>'";"20000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL975428";"Inhibition of Cdk1/cyclin B";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1907602";"Cyclin-dependent kinase 1/cyclin B1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1155902";"1";"Scientific Literature";"Bioorg Med Chem";"2008";"None";"";"";""
"CHEMBL453129";"";"None";"378.46";"0";"4.13";"13d";"CC(C)n1cnc2ccc3nc(C(=N)OCc4ccccc4)sc3c2c1=O";"IC50";"'='";"150.0";"nM";"6.82";"";"";"UO_0000065";"18.03";"0.35";"2.69";"8.44";"0";"CHEMBL951783";"Inhibition of CDK1/cyclinB";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1907602";"Cyclin-dependent kinase 1/cyclin B1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1140958";"1";"Scientific Literature";"Eur J Med Chem";"2008";"None";"";"";""
"CHEMBL334050";"";"None";"267.29";"0";"2.03";"19, page S8 table 2";"C=C(COc1nc(N)nc2nc[nH]c12)c1ccccc1";"IC50";"'='";"25000.0";"nM";"4.60";"";"";"UO_0000065";"17.22";"0.31";"2.57";"5.13";"1";"CHEMBL952114";"Inhibition of CDK1/Cyclin B";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1907602";"Cyclin-dependent kinase 1/cyclin B1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1143196";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";""
"CHEMBL271564";"";"None";"233.27";"0";"1.67";"14, page S8 table 2";"CC/C=C/CCOc1nc(N)nc2[nH]cnc12";"IC50";"'='";"76000.0";"nM";"4.12";"";"";"UO_0000065";"17.66";"0.33";"2.45";"4.59";"1";"CHEMBL952114";"Inhibition of CDK1/Cyclin B";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1907602";"Cyclin-dependent kinase 1/cyclin B1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1143196";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";""
