Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value
CHEMBL1909401,,None,465.41,0,4.56,SB-285234-W,O=C([O-])c1ccc(Oc2nccc(-c3c(-c4ccc(F)cc4)ncn3C3CCNCC3)n2)cc1.[Li+],Inhibition,'=',3.72,%,,,,UO_0000187,,,,,0,CHEMBL1962026,GSK_PKIS: CDK4/cyclinD mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL331,Cyclin-dependent kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,
CHEMBL230011,TG100-115,2,346.35,0,2.33,TG-100-115,Nc1nc(N)c2nc(-c3cccc(O)c3)c(-c3cccc(O)c3)nc2n1,Kd,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL1908477,Binding constant for CDK4-cyclinD1 kinase domain,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL331,Cyclin-dependent kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1908390,1,Scientific Literature,Nat Biotechnol,2011,None,,,
CHEMBL142788,,None,349.21,0,3.59,5d,Cc1nc2c(s1)C(=O)C=C(Nc1ccc(Br)cc1)C2=O,IC50,'=',6700,nM,5.17,,,UO_0000065,14.82,0.35,1.58,8.76,0,CHEMBL666097,Inhibition of Cyclin-dependent kinase 4 (CDK4/cyclin Dl),B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL331,Cyclin-dependent kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1133408,1,Scientific Literature,Bioorg Med Chem Lett,2000,None,,,
CHEMBL535,SUNITINIB,4,398.48,0,3.33,Sunitinib,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,Kd,'=',6200,nM,5.21,,,UO_0000065,13.07,0.25,1.88,6.74,0,CHEMBL1908477,Binding constant for CDK4-cyclinD1 kinase domain,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL331,Cyclin-dependent kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1908390,1,Scientific Literature,Nat Biotechnol,2011,None,,,
CHEMBL535,SUNITINIB,4,398.48,0,3.33,Sunitinib,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,Kd,'=',2000,nM,5.7,,,UO_0000065,14.3,0.27,2.37,7.38,0,CHEMBL1908478,Binding constant for CDK4-cyclinD3 kinase domain,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL331,Cyclin-dependent kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1908390,1,Scientific Literature,Nat Biotechnol,2011,None,,,
CHEMBL103355,,None,373.41,0,3.06,9,Cc1ccc(F)c(Nc2ccnc(Nc3ccc(S(N)(=O)=O)cc3)n2)c1,IC50,'=',2700,nM,5.57,,,UO_0000065,14.91,0.29,2.51,5.06,0,CHEMBL666103,Inhibition of Cyclin-dependent kinase 4,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL331,Cyclin-dependent kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1136202,1,Scientific Literature,Bioorg Med Chem Lett,2003,None,,,
CHEMBL374060,GW439255X,None,325.41,0,4.53,GW439255X,Cc1cc(O)cc(C)c1/C=C/c1cncc(C(=O)OC(C)(C)C)c1,Inhibition,'=',3.59,%,,,,UO_0000187,,,,,0,CHEMBL1962027,GSK_PKIS: CDK4/cyclinD mean inhibition at 1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL331,Cyclin-dependent kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,
CHEMBL384407,GW616030X,None,620.11,2,6.38,GW616030X,CS(=O)(=O)CCN(CC#N)Cc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,Inhibition,'=',-2.96,%,,,,UO_0000187,,,,,0,CHEMBL1962026,GSK_PKIS: CDK4/cyclinD mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL331,Cyclin-dependent kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,
CHEMBL318728,GW549390X,None,236.27,0,4.09,GW549390X,c1ccc(Nc2ncc(-c3ccccc3)o2)cc1,Inhibition,'=',11.46,%,,,,UO_0000187,,,,,0,CHEMBL1962027,GSK_PKIS: CDK4/cyclinD mean inhibition at 1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL331,Cyclin-dependent kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,
CHEMBL1794059,GW275616X,None,315.35,0,1.74,GW275616X,NS(=O)(=O)c1cccc(N/C=C2\C(=O)Nc3ccccc32)c1,Inhibition,'=',5.5,%,,,,UO_0000187,,,,,0,CHEMBL1962026,GSK_PKIS: CDK4/cyclinD mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL331,Cyclin-dependent kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,
CHEMBL1909414,,None,508.02,0,4.87,SB-590885-AAD,CN(C)CCOc1ccc(-c2nc(-c3ccncc3)c(-c3ccc4c(c3)CC/C4=N\O)[nH]2)cc1.Cl.O,Inhibition,'=',2.94,%,,,,UO_0000187,,,,,0,CHEMBL1962026,GSK_PKIS: CDK4/cyclinD mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL331,Cyclin-dependent kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,
CHEMBL195029,,None,553.45,2,6.04,17c,COc1cc(Nc2c(C#N)cnc3cc4cc(OCCN5CCOCC5)c(OC)cc4cc23)c(Cl)cc1Cl,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL856812,Inhibitory concentration against CDK4,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL331,Cyclin-dependent kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1141082,1,Scientific Literature,J Med Chem,2005,None,,,
CHEMBL178737,,None,496.53,0,2.12,10,O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCOCC1)CC2,IC50,'=',1700,nM,5.77,,,UO_0000065,11.62,0.21,3.65,5.7,0,CHEMBL832693,Inhibition of human Cyclin-dependent kinase 4,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL331,Cyclin-dependent kinase 4,Homo sapiens,SINGLE PROTEIN,CHEMBL1138659,1,Scientific Literature,J Med Chem,2004,None,,,
