Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value
CHEMBL3085238,,None,396.5,0,2.99,526,COc1ccc(CNc2nc(N3CCC[C@@H]3CO)nc3c2ncn3C(C)C)cc1,IC50,,,nM,,,Not Determined,UO_0000065,,,,,0,CHEMBL665007,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4036,Cyclin-dependent kinase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL1133090,1,Scientific Literature,J Med Chem,2000,None,,,
CHEMBL1087672,,None,250.34,0,2.62,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL335852,,None,353.47,0,3.72,478,CC(C)n1cnc2c(NCc3ccccc3)nc(CCCCCO)nc21,IC50,,,nM,,,Not Determined,UO_0000065,,,,,0,CHEMBL665007,Inhibitory activity against Cyclin-dependent kinase 5; ND means Not determined,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4036,Cyclin-dependent kinase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL1133090,1,Scientific Literature,J Med Chem,2000,None,,,
CHEMBL318728,GW549390X,None,236.27,0,4.09,GW549390X,c1ccc(Nc2ncc(-c3ccccc3)o2)cc1,Inhibition,'=',10.38,%,,,,UO_0000187,,,,,0,CHEMBL1962029,GSK_PKIS: CDK5/p35 mean inhibition at 1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4036,Cyclin-dependent kinase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,
CHEMBL427045,,None,367.48,0,4.76,3,Cc1cc(-c2cnc(Nc3ccccn3)s2)nc(OC2CCCCC2)n1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL870943,Inhibition of CDK5,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4036,Cyclin-dependent kinase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL1137419,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,,,
CHEMBL1785004,,None,451.45,1,5.14,SB-253228,Fc1ccc(-c2ncn(C3CCNCC3)c2-c2ccnc(Oc3ccc(F)c(F)c3)n2)cc1,Inhibition,'=',3.94,%,,,,UO_0000187,,,,,0,CHEMBL1962029,GSK_PKIS: CDK5/p35 mean inhibition at 1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4036,Cyclin-dependent kinase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,
CHEMBL352222,,None,394.17,0,3.09,SB-358518,O=C1NC(=O)C(c2cccc([N+](=O)[O-])c2)=C1Nc1cc(Cl)c(O)c(Cl)c1,Inhibition,'=',0.17,%,,,,UO_0000187,,,,,0,CHEMBL1962028,GSK_PKIS: CDK5/p35 mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4036,Cyclin-dependent kinase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,
CHEMBL268885,GSK-711701A,None,416.89,0,3.43,GSK711701A,COc1c(C(N)=O)cc(-c2ccc(Cl)cc2)cc1-c1ccc(S(N)(=O)=O)cc1,Inhibition,'=',0.65,%,,,,UO_0000187,,,,,0,CHEMBL1962028,GSK_PKIS: CDK5/p35 mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4036,Cyclin-dependent kinase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,
CHEMBL574588,,None,336.41,1,5.41,(S)-9b,Cc1ccc(-c2ccc3occ(-c4ccc([S@+](C)[O-])cc4)c3c2)o1,IC50,'>',10000,nM,,,,UO_0000065,,,,,0,CHEMBL1038776,Inhibition of CDK5 by [gamma-33-P]ATP based assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4036,Cyclin-dependent kinase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL1154165,1,Scientific Literature,J Med Chem,2009,None,,,
CHEMBL397570,,None,300.36,0,3.89,SB-347804,N#Cc1c(NC(=O)c2ccc(F)cc2)sc2c1CCCC2,Inhibition,'=',0.42,%,,,,UO_0000187,,,,,0,CHEMBL1962028,GSK_PKIS: CDK5/p35 mean inhibition at 0.1 uM [Nanosyn],B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL4036,Cyclin-dependent kinase 5,Homo sapiens,SINGLE PROTEIN,CHEMBL1961873,16,GSK Published Kinase Inhibitor Set,,,None,,,
