"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL386051";"";"None";"443.36";"1";"5.77";"PD-173955";"CSc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1";"Kd";"'='";"8.2";"nM";"8.09";"";"";"UO_0000065";"18.24";"0.38";"2.32";"13.52";"0";"CHEMBL1908709";"Binding constant for GAK kinase domain";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4355";"Serine/threonine-protein kinase GAK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1908390";"1";"Scientific Literature";"Nat Biotechnol";"2011";"None";"";"";""
"CHEMBL4161901";"";"None";"356.45";"0";"3.17";"12q";"COc1cc(-c2cnc3c(N4CCOC[C@H]4C)snc3c2)ccc1N";"Kd";"'='";"800.0";"nM";"6.10";"";"";"UO_0000065";"17.10";"0.33";"2.93";"8.30";"0";"CHEMBL4145343";"Binding affinity to DNA-tagged human GAK expressed in Escherichia coli BL21 using immobilised ligand incubated for 1 hr by quantitative PCR";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4355";"Serine/threonine-protein kinase GAK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4138316";"1";"Scientific Literature";"J Med Chem";"2018";"None";"";"";""
"CHEMBL607707";"PELITINIB";"2.0";"467.93";"1";"5.10";"EKB-569";"CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C";"Kd";"'='";"1.5";"nM";"8.82";"";"";"UO_0000065";"18.86";"0.37";"3.72";"9.77";"0";"CHEMBL860789";"Average Binding Constant for GAK; NA=Not Active at 10 uM";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4355";"Serine/threonine-protein kinase GAK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144455";"1";"Scientific Literature";"Nat Biotechnol";"2005";"None";"";"";""
"CHEMBL3425838";"";"None";"228.28";"0";"2.34";"5e";"Nc1snc2cc(-c3cccnc3)cnc12";"Activity";"'='";"80.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3430282";"Binding affinity to human GAK fused to T7 bacteriophage expressed in Escherichia coli BL21 assessed as ligand-protein complex at 10 uM after 1 hr by qPCR analysis relative to control";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4355";"Serine/threonine-protein kinase GAK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3425437";"1";"Scientific Literature";"J Med Chem";"2015";"None";"";"";""
"CHEMBL3425848";"";"None";"298.37";"0";"2.59";"9e";"c1cncc(-c2cnc3c(N4CCOCC4)snc3c2)c1";"Activity";"'='";"25.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3430282";"Binding affinity to human GAK fused to T7 bacteriophage expressed in Escherichia coli BL21 assessed as ligand-protein complex at 10 uM after 1 hr by qPCR analysis relative to control";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4355";"Serine/threonine-protein kinase GAK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3425437";"1";"Scientific Literature";"J Med Chem";"2015";"None";"";"";""
"CHEMBL221959";"TOFACITINIB";"4.0";"312.38";"0";"1.54";"CP-690550";"C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12";"Kd";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"1";"CHEMBL1908709";"Binding constant for GAK kinase domain";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4355";"Serine/threonine-protein kinase GAK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1908390";"1";"Scientific Literature";"Nat Biotechnol";"2011";"None";"";"";""
"CHEMBL408019";"";"None";"294.31";"0";"2.68";"13";"O=C(Nc1n[nH]c2nc(-c3cccc(O)c3)ccc12)C1CC1";"Activity";"'='";"1.9";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL993455";"Binding affinity to human GAK at 10 uM relative to control";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4355";"Serine/threonine-protein kinase GAK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151712";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";""
"CHEMBL514582";"";"None";"410.46";"0";"1.45";"4";"NC(=O)c1ccc(-c2cc(C(N)=O)c(N)c(-c3ccc(S(N)(=O)=O)cc3)c2)cc1";"Activity";"'='";"3.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL993455";"Binding affinity to human GAK at 10 uM relative to control";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4355";"Serine/threonine-protein kinase GAK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151712";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";""
"CHEMBL257167";"";"None";"279.30";"0";"2.14";"3";"NC(=O)Nc1sc(-c2ccc(F)cc2)cc1C(N)=O";"Activity";"'='";"0.1";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL993455";"Binding affinity to human GAK at 10 uM relative to control";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4355";"Serine/threonine-protein kinase GAK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1151712";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";"";""
"CHEMBL939";"GEFITINIB";"4.0";"446.91";"0";"4.28";"Iressa";"COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1";"Kd";"'='";"7.0";"nM";"8.15";"";"";"UO_0000065";"18.25";"0.36";"3.87";"11.86";"0";"CHEMBL860789";"Average Binding Constant for GAK; NA=Not Active at 10 uM";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4355";"Serine/threonine-protein kinase GAK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144455";"1";"Scientific Literature";"Nat Biotechnol";"2005";"None";"";"";""
"CHEMBL31965";"CANERTINIB";"3.0";"485.95";"0";"4.39";"CI-1033";"C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1";"Kd";"'='";"44.0";"nM";"7.36";"";"";"UO_0000065";"15.14";"0.30";"2.97";"8.30";"0";"CHEMBL860789";"Average Binding Constant for GAK; NA=Not Active at 10 uM";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4355";"Serine/threonine-protein kinase GAK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144455";"1";"Scientific Literature";"Nat Biotechnol";"2005";"None";"";"";""
"CHEMBL3425859";"";"None";"303.41";"0";"3.26";"12a";"c1csc(-c2cnc3c(N4CCOCC4)snc3c2)c1";"Activity";"'='";"0.05";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3430282";"Binding affinity to human GAK fused to T7 bacteriophage expressed in Escherichia coli BL21 assessed as ligand-protein complex at 10 uM after 1 hr by qPCR analysis relative to control";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4355";"Serine/threonine-protein kinase GAK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3425437";"1";"Scientific Literature";"J Med Chem";"2015";"None";"";"";""
"CHEMBL3425847";"";"None";"303.41";"0";"3.26";"9d";"c1cc(-c2cnc3c(N4CCOCC4)snc3c2)cs1";"Kd";"'='";"42.0";"nM";"7.38";"";"";"UO_0000065";"24.31";"0.50";"4.12";"19.29";"0";"CHEMBL3430283";"Binding affinity to human GAK fused to T7 bacteriophage expressed in Escherichia coli BL21 after 1 hr by qPCR analysis";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4355";"Serine/threonine-protein kinase GAK";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3425437";"1";"Scientific Literature";"J Med Chem";"2015";"None";"";"";""
