compound_id,base_rdkit_smiles,relation_cdk1,avg_pIC50_cdk1,relation_cdk2,avg_pIC50_cdk2,relation_cdk4,avg_pIC50_cdk4,relation_cdk5,avg_pIC50_cdk5,relation_cdk6,avg_pIC50_cdk6,relation_cdk7,avg_pIC50_cdk7,relation_cdk8,avg_pIC50_cdk8,relation_cdk9,avg_pIC50_cdk9,relation_cdk12,avg_pIC50_cdk12,relation_cdk13,avg_pIC50_cdk13
CHEMBL10,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,<,5.100000128334196,<,5.0,<,5.0,<,5.0,,,<,5.0,<,5.0,<,5.0,,,<,5.0
CHEMBL100079,CCC(CO)Nc1nc(NCc2ccccc2)c2nc(Cl)n(C(C)C)c2n1,,4.698970004336019,,,,,,,,,,,,,,,,,,
CHEMBL100220,COC(=O)Cn1c2c(c3cc(Br)ccc31)CC(=O)Nc1ccccc1-2,,5.853871964321762,,,,,,,,,,,,,,,,,,
CHEMBL100309,O=C1Cc2c([nH]c3ccc(C(F)(F)F)cc23)-c2cc(Br)ccc2N1,,6.619788758288394,,,,,,,,,,,,,,,,,,
CHEMBL100312,CC(C)(C)OC(=O)n1c2c(c3cc(Br)ccc31)CC(=O)Nc1ccccc1-2,,4.154901959985743,,,,,,,,,,,,,,,,,,
CHEMBL100391,CN(C)CC(O)COc1ccc(Nc2ncc(Cl)c(Nc3ccccc3)n2)cc1,,,,6.301029995663981,,7.0,,,,,,,,,,,,,,
CHEMBL100485,CC(C)(C)OC(=O)C1C(=O)N(C(=O)OC(C)(C)C)c2ccccc2-c2[nH]c3ccc(Br)cc3c21,,4.096910013008056,,,,,,,,,,,,,,,,,,
CHEMBL100500,CCC(CO)Nc1nc(NCc2ccccc2)c2nc(N)n(C(C)C)c2n1,,4.154901959985743,,,,,,,,,,,,,,,,,,
CHEMBL100645,CCC(CO)Nc1nc(NCc2ccccc2)c2nc(C)n(C(C)C)c2n1,,5.096910013008056,,,,,,,,,,,,,,,,,,
CHEMBL100664,COc1ccccc1Nc1ccnc(Nc2ccc(OCC(O)CN(C)C)cc2)n1,,,,4.823908740944319,,4.721246399047171,,,,,,,,,,,,,,
CHEMBL100670,CCC(CO)Nc1nc(NCc2ccccc2)c2nc(O)n(C(C)C)c2n1,,4.187086643357144,,,,,,,,,,,,,,,,,,
CHEMBL100675,Cc1ccc(Cl)c(Nc2cc(Nc3ccc(OCC(O)CN(C)C)cc3)ncn2)c1,,,,4.657577319177793,,5.698970004336019,,,,,,,,,,,,,,
CHEMBL100811,CN(C)CC(O)COc1ccc(Nc2cc(Nc3ccccc3Br)ncn2)cc1,,,,4.552841968657781,,5.3979400086720375,,,,,,,,,,,,,,
CHEMBL100818,COc1ccc2sc3c(c2c1)NC[C@H](C)NC3=O,,6.585026652029182,,,,,,,,,,,,,,,,,,
CHEMBL100945,C#CCN(c1cc(Nc2ccc(OCC(O)CN(C)C)cc2)ncn1)c1cc(Cl)ccc1Cl,,,,4.721246399047171,,6.096910013008056,,,,,,,,,,,,,,
CHEMBL100979,Cc1nc2ccccn2c1-c1ccnc(N)n1,,,,5.3979400086720375,,5.096910013008056,,,,,,,,,,,,,,
CHEMBL101019,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccccc3F)n2)cc1,,,,5.154901959985743,,6.0,,,,,,,,,,,,,,
