compound_id,base_rdkit_smiles,avg_pIC50,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL2002690,O=C(Nc1nc2c(O)cccc2s1)Nc1ccccc1-c1ccccc1,5.800000874803203,13.29891232573276,-1.597435332157555,13.29891232573276,0.018933348030569785,0.4626370296980178,361.4259999999999,346.30600000000015,361.0884977200004,128,0,0.32500241049402195,-0.5056323517893344,0.5056323517893344,0.32500241049402195,1.0384615384615385,1.8461538461538463,2.6923076923076925,1.9408708986039358,1751.0910234992718,30.823026265731418,27.566385657891463,13.382882238819189,19.075268938016922,14.210812848891381,7.724633948355327,4.608082526874867,5.585603334240772,2.999449884455461,3.864133639506962,1.9473882497793504,2.7277071549369696,-3.3799999999999986,710140927.6832991,6.408024177683135,6.854824362629047,3.223837532843321,174.78503067369178,10.418621544395588,11.266212550900168,7.9552426364957345,0.0,1.4311996572326342,6.031114512338072,5.309813353288376,9.77851570501903,0.0,0.0,65.71855424690439,23.69070761468688,5.563451491696996,26.8364088651953,29.17613220587807,38.40346577888106,1.4311996572326342,4.9839785209472085,0.0,0.0,10.619626706576751,72.50902449195954,0.0,16.876414816677897,10.619626706576751,15.613481938594717,5.749511833283905,11.336785877934737,17.55510088162513,0.0,0.0,16.44910267404264,72.50902449195954,2.8236841566564013,21.343523617479352,0.0,74.25,106.23549857549844,4.794537184071822,0.0,20.836247340662112,11.336785877934737,0.0,0.0,0.0,0.0,10.092786712054421,20.703986487931672,120.58009250002189,0.5102109617441497,17.23203626768787,3.732330087388396,-2.66957879204622,-0.5206231376386226,-11.197801220490826,0.0,0.0,0.0,0.0,26,3,5,0,0,0,3,1,4,4,3,6,4,0,0,0,4,5.312900000000003,105.8042,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
CHEMBL5198038,CC(C)n1cc(-c2ccnc3[nH]c(C4CCN(CC(=O)N(C)C)CC4)cc23)ccc1=O,8.364335851841153,13.460694079200554,-4.687576386669311,13.460694079200554,0.3626672104600943,0.6863696475590342,421.5449999999996,390.2970000000002,421.24777523200083,164,0,0.2502806491629909,-0.3477095567768289,0.3477095567768289,0.2502806491629909,1.4838709677419355,2.2903225806451615,3.032258064516129,2.2444477608774926,2361.2992129888894,49.022061357410195,46.05256455842752,15.052564558427518,27.155383413726202,23.51235025671355,8.065136661213591,5.669979904066731,5.669979904066731,3.7049065494766205,3.7049065494766205,2.3654660205195204,2.3654660205195204,-2.9299999999999997,1019130752354.5907,5.3389448337703405,8.66829920673088,4.416044416972693,225.85691762396365,14.444012648871084,5.647177220767728,1.4118420783282006,5.907179729351506,5.559266895052007,0.0,14.48898409899412,4.9839785209472085,0.0,0.0,0.0,68.69751251226587,84.11779497245787,18.833686689847923,47.32913594750665,16.940581164584028,0.0,24.32790090066877,0.0,38.36148419096284,33.44223285351233,52.56319732625499,0.0,11.126902983393991,5.559266895052007,0.0,0.0,0.0,63.67731348353259,4.794537184071822,0.0,85.17816887091789,41.31000243635452,1.4118420783282006,22.160304418626517,0.0,74.23,162.0067804441287,10.959832924313863,0.0,4.977003270229252,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,41.1638402072646,256.815182368915,0.0,27.750659260211265,-1.2368260864633067,-7.768208883041759,-7.2549159355303905,-10.280918816028747,-12.337130922740418,-30.271174318655042,0.0,0.4583333333333333,31,1,7,0,1,1,0,3,3,5,1,7,9,0,1,1,4,3.2401000000000018,123.28370000000005,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,4,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CHEMBL1978166,Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(C#CCCCCCCCCN)cnc(N)c34)cc2)c1,6.0,13.53231406959665,-4.717135230637511,13.53231406959665,0.2263342019420833,0.1267116676226518,525.7220000000004,490.44200000000035,525.256231740001,196,0,0.32317858856071396,-0.38314092889624857,0.38314092889624857,0.32317858856071396,1.131578947368421,1.9473684210526316,2.763157894736842,1.9440610940937366,2924.1763164866948,57.18483358529721,53.55256455842752,19.36906113935524,32.53709968832586,27.08450839069537,10.71772339862335,6.395659863923801,7.212156444851527,4.025895310126783,4.944453963670476,2.5853547284467346,3.4877509124427695,-3.86,245554514295451.16,7.2047057607312395,13.616816648525731,7.3449286348507625,277.9291332399258,22.059060658029296,8.64154693449143,5.6473683133128025,0.0,0.0,6.031114512338072,0.0,9.77851570501903,0.0,11.336785877934737,61.502243073681974,66.74729382798515,60.914680934907295,23.970956969868293,53.01758778297743,44.64667984840886,0.0,4.9839785209472085,5.719716975726273,51.46236642660133,22.836203366618967,70.9952622651827,0.0,22.967771621105282,22.059060658029296,21.987172511273975,0.0,11.336785877934737,17.511952717601226,0.0,18.69276075500697,95.48937542163596,59.86835928178871,8.471052469969203,21.21304711432789,0.0,106.06,189.73062901227118,4.794537184071822,0.0,17.05650285366101,0.0,0.0,0.0,5.920434318855644,5.920434318855644,4.9839785209472085,48.223050598905594,285.78314483926374,0.2263342019420833,17.250495234631327,-2.332140337393195,-7.39859795728386,2.661276565375312,-11.681327711695108,-32.7155631219246,-7.37695504624905,0.0,0.2903225806451613,38,6,6,0,0,0,2,2,4,5,4,7,13,0,0,0,4,7.538820000000006,161.54019999999974,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
CHEMBL1985367,Cc1ccnc(Nc2cc(C)nc(-c3ccccc3)n2)c1,6.499996931948306,8.421188166624674,-3.106756136096415,8.421188166624674,0.10428146258503412,0.7879138669358204,276.3429999999997,260.215,276.13749651200044,104,0,0.16961571620526922,-0.324818674783762,0.324818674783762,0.16961571620526922,1.0476190476190477,1.9523809523809523,2.761904761904762,2.4200183761897236,1385.60644239128,28.358924650593657,26.288854381999833,10.288854381999831,16.800342703869063,13.486067977499792,5.538854381999832,3.6284441853748644,3.6284441853748644,2.174632289312401,2.174632289312401,1.380644301956175,1.380644301956175,-2.7499999999999996,42490795.701352194,4.1326159334126045,5.707670921763646,3.2285725064131583,146.0218665217891,5.309813353288376,11.635725555670057,7.236246576328128,0.0,0.0,0.0,0.0,14.951935562841626,0.0,0.0,30.212093538316473,31.352073141614945,31.69724474204483,12.33682700553198,21.9732204208815,11.635725555670057,0.0,14.951935562841626,0.0,13.703784234591359,5.309813353288376,65.76962435866658,0.0,11.387855989696924,5.309813353288376,11.635725555670057,0.0,0.0,14.951935562841626,0.0,13.703784234591359,31.81875782909875,54.51224487212112,1.4118420783282006,11.387855989696924,0.0,50.7,102.49699013862494,0.0,0.0,5.309813353288376,0.0,0.0,0.0,0.0,0.0,14.951935562841626,21.9732204208815,126.08406733963302,0.0,11.163033936562073,0.10428146258503412,-2.513293461438753,-2.5161613835348957,-6.740303233098751,-0.9195838919628152,-6.162040768744917,0.0,0.11764705882352941,21,1,4,0,0,0,1,2,3,4,1,4,5,0,0,0,3,3.899040000000002,84.46170000000004,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CHEMBL3663763,COc1ccc(N)nc1-c1ccnc2[nH]c(C3CCNCC3)cc12,5.180456064458132,9.02967319643907,-3.923924609074321,9.02967319643907,0.05554032029478462,0.6894297739290441,323.3999999999997,302.2320000000001,323.1746102920006,124,0,0.16776300807346622,-0.4944676142861818,0.4944676142861818,0.16776300807346622,1.5,2.4166666666666665,3.25,2.2721756601821625,1687.1313799436184,34.781574381404035,32.64431626796365,11.644316267963655,20.123639336070333,16.709563852213506,6.420709470213675,4.43323720097274,4.43323720097274,3.047310177628063,3.047310177628063,2.059656825416109,2.059656825416109,-2.5999999999999996,1424785096.3401473,4.320782472006054,6.126706884994732,2.5856890904509946,169.7423449156589,20.74339655304395,24.32032190506332,4.235526234984602,0.0,0.0,0.0,0.0,9.967957041894417,0.0,0.0,0.0,49.909244001943826,41.04728360272009,18.004020908244346,33.68712672200659,16.85126421306755,0.0,20.254773665412046,0.0,18.639807488021837,25.75138880324075,36.0364980363164,0.0,17.00689131982936,15.766393282814697,5.817862777835028,5.749511833283905,0.0,34.97663213963814,0.0,0.0,47.636630937764075,30.34257004146794,5.6473683133128025,22.29078092177798,0.0,88.85,113.87594623803801,0.0,0.0,10.696720245955525,0.0,0.0,0.0,0.0,0.0,9.967957041894417,33.68712672200659,176.49652856414343,0.0,7.4203273354030905,-1.4886584312306501,-4.365123852462505,-5.908872374235379,-4.355851346209963,-8.88488108490769,-7.561244515648829,-3.3522242948515144,0.3333333333333333,24,4,6,0,1,1,0,3,3,5,3,6,5,0,1,1,4,2.6827000000000005,95.13380000000002,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CHEMBL1972290,NCCNc1cc(-c2c[nH]c3ncccc23)cc(Cl)n1,7.100015437450609,8.472768644494835,-3.45112380070894,8.472768644494835,0.234707524985303,0.6445945623306852,287.75399999999973,273.642,287.0937731280004,102,0,0.16748993736748854,-0.3687377939650008,0.3687377939650008,0.16748993736748854,1.65,2.6,3.5,2.4145006848475865,1308.6591917470353,26.074467600217485,23.61403245050902,10.369961396527474,15.477863058797631,11.990297798254257,5.579407889263653,3.4574507291000223,3.8154638165503396,2.283233861737485,2.462240405462643,1.5349989804259954,1.7095442587156504,-2.11,14125869.672556583,4.44351348038074,5.482522408822963,2.453940804321604,140.64333510780187,16.0065335992439,19.441833972151947,2.8236841566564013,0.0,0.0,0.0,0.0,9.967957041894417,0.0,0.0,11.600939890232516,29.733126322350174,39.03070260876365,10.96606844936176,19.354953875015003,28.45220410330007,0.0,14.94496031212367,5.719716975726273,0.0,18.303532721920266,41.668575069175496,0.0,11.126902983393991,11.029530329014648,5.817862777835028,0.0,11.600939890232516,27.938679680755556,0.0,0.0,13.7075855617022,36.5154652522827,10.800478130205596,22.160304418626517,0.0,79.61999999999999,82.97395439553043,0.0,0.0,10.696037567753171,4.977003270229252,0.0,0.0,0.0,0.0,9.967957041894417,30.955893765247513,110.2735267660828,5.981358147168331,7.721303111879635,-1.2710295808138063,-2.0314657091087422,-0.9447184954228602,-2.8972271657298254,-1.3626153889166623,-6.858020574027747,0.0,0.14285714285714285,20,4,5,0,0,0,0,3,3,4,3,6,5,0,0,0,3,2.6489000000000003,81.87880000000001,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CHEMBL3668528,COc1ccc(F)cc1-c1ccnc2[nH]c(C3=C[C@H]4CN(S(C)(=O)=O)C[C@H]4C3)cc12,7.040958607678906,15.136989174219355,-6.168730550809543,15.136989174219355,0.026852245527841045,0.6894050381642808,427.50099999999975,405.32500000000016,427.13659078400053,156,0,0.21073000537472103,-0.4961101094254708,0.4961101094254708,0.21073000537472103,1.4,2.3,3.1,1.9644176669317217,2249.238662151807,40.22916813859674,36.352598421364554,15.16909500229228,23.13449302433223,18.85611657336863,9.348966306669311,5.870842968765616,7.186124020092044,4.030923973439659,4.694214742109745,2.792522094830864,3.215454572083434,-2.71,31088885365.442448,6.641914296381948,6.921028035721364,3.1995553939562567,204.9492817805655,9.713866224029301,17.213909895097526,1.4118420783282006,10.023291153407584,0.0,0.0,0.0,22.0974065442472,0.0,0.0,6.052071746035566,59.509489832138264,50.888562398329356,26.929462121701242,47.74284674370666,26.629797118709376,0.0,14.266197782472695,11.787915370726157,6.372924901329379,26.215595928630933,53.94820933106115,0.0,16.876414816677897,4.736862953800049,4.39041504767482,5.749511833283905,0.0,48.89959069543256,10.023291153407584,17.605136211772052,40.85278257575248,42.437060495166804,1.4118420783282006,27.733408948695782,0.0,75.28999999999999,146.13607345843116,8.417796984328938,4.39041504767482,4.977003270229252,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,34.93463471170287,227.07778895781433,0.0,3.637087619846683,-0.9210464610545774,-5.804592185876595,-11.142012662072275,-8.16058493654686,-9.343873271646196,-8.551161777328321,-9.624938616469613,0.3181818181818182,30,1,6,1,1,2,1,2,3,4,1,8,6,0,1,1,5,3.6723000000000026,114.03050000000003,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
CHEMBL5088687,Cc1nc(NCc2ncccc2F)c2c(-c3ccnc(N)c3)c[nH]c2n1,5.0,14.971718740219547,-3.4751999874023696,14.971718740219547,0.15905902658892712,0.5228340903180819,349.3729999999997,333.245,349.1451217320005,130,0,0.16749340308032287,-0.3836845603866619,0.3836845603866619,0.16749340308032287,1.4615384615384615,2.423076923076923,3.3076923076923075,2.1825888123243287,1755.360014176493,31.798082239349085,28.508459641508935,12.508459641508933,19.226881624437524,14.634724989254174,6.845870607254342,4.700050214004402,4.700050214004402,3.095398114676079,3.095398114676079,2.056238389755634,2.056238389755634,-3.55,673699339.998876,6.012040099470199,6.396026834176765,2.9225487585010397,170.81193545213907,16.0065335992439,28.924528115483604,5.6473683133128025,0.0,0.0,0.0,4.9839785209472085,19.342350610516444,0.0,0.0,0.0,36.58501843964585,28.19441279265194,29.913838899161178,26.486886035030256,22.66912699090258,0.0,24.912917354018088,0.0,13.348751801611623,11.029530329014648,60.023913796991735,0.0,11.126902983393991,11.029530329014648,16.026140603344878,0.0,0.0,24.912917354018088,6.496859684315945,12.669112958341575,27.967435166891022,42.68836046309746,5.6473683133128025,22.160304418626513,0.0,105.39999999999999,107.16869557289995,4.39041504767482,0.0,16.0065335992439,0.0,0.0,0.0,0.0,0.0,19.935914083788834,22.09647098735544,143.06169700421353,0.0,14.553987096404072,-0.9045588204417567,-3.5983054960419256,-4.601393388918537,-3.9204570319310097,-2.8086981018311317,-6.615604594786596,0.0,0.1111111111111111,26,4,7,0,0,0,0,4,4,6,3,8,6,0,0,0,4,3.0567200000000003,97.7908,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,4,2,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CHEMBL1230607,CC(C)CC(=O)Nc1n[nH]c2c1CN(C(=O)C1CCN(C)CC1)C2(C)C,6.661543506395395,14.811987229541344,-4.994055873229307,14.811987229541344,0.670584341404147,0.8622393374431374,361.4899999999995,330.2420000000001,361.2477752320009,144,0,0.22634551940789865,-0.3271789863767738,0.3271789863767738,0.22634551940789865,1.6153846153846154,2.3846153846153846,3.0384615384615383,2.594407673837621,1753.4295664163387,45.903259203893185,43.55256455842752,12.552564558427518,24.473973869039547,21.98874345896357,6.594316267963654,4.810962909691787,4.810962909691787,3.0485994898500666,3.0485994898500666,1.9749985316422076,1.9749985316422076,-1.89,61786896914.89752,3.947960337963021,7.0221824108607835,3.4931127694707937,198.71884910693083,15.109632814989332,0.0,8.64154693449143,11.814359458703011,0.0,0.0,14.680780925726726,0.0,5.098681808301038,0.0,13.703784234591359,52.31313799152733,54.840815094985444,20.47123004388819,52.16475665373646,17.632222236538038,0.0,19.990207827585074,11.787915370726157,58.56212810987013,25.279359622202513,11.257379486545457,0.0,0.0,5.309813353288376,5.817862777835028,0.0,0.0,51.77411355520221,21.624859304842936,11.787915370726157,97.5357207886526,0.0,2.8236841566564013,0.0,0.0,81.33,139.41053084516636,9.589074368143644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.098681808301038,42.5756822855928,253.10860438293315,0.0,26.24771271144067,1.501522393851939,-8.43463949777442,-17.19004351684127,0.0,-14.125934245625313,-35.27388889465155,0.0,0.7368421052631579,26,2,7,0,2,2,0,1,1,4,2,7,9,0,1,1,3,2.3134000000000006,100.46940000000005,0,0,0,0,0,2,1,0,0,0,2,2,0,0,0,3,2,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL3981660,CN1Cc2c(C3=CCN(CC(=O)N4CCC[C@@H]4CO)CC3)[nH]c3ncc(F)c(c23)-c2cc(F)ccc21,7.292429823902063,16.398548698197395,-4.842033171738454,16.398548698197395,0.2537282447282867,0.5818120538873475,493.55799999999965,464.3260000000002,493.22893160800083,188,0,0.23658818949262678,-0.39423502737336485,0.39423502737336485,0.23658818949262678,1.5,2.4166666666666665,3.2777777777777777,1.7532228897962476,2643.3907560987273,50.461218946165616,46.30849350444597,17.30849350444597,28.832068989290462,24.048563020186634,9.693101134222816,7.0552640819084145,7.0552640819084145,5.018618247196348,5.018618247196348,3.531963175225489,3.531963175225489,-3.299999999999999,8851764174584.928,7.386090238239202,8.97396531993308,3.774717490301907,248.45626243197205,19.885630923037418,17.281618902859517,1.4118420783282006,7.33837938658414,0.0,0.0,9.694446914922299,13.764808616296849,0.0,0.0,6.052071746035566,42.819135357047294,86.98253693918707,41.6957352804393,57.10649856545286,28.20107196933686,1.4311996572326342,19.760801252877418,0.0,31.633526856653727,44.42216061131278,53.24404424847746,0.0,11.126902983393991,4.899909730850478,14.4682163700332,0.0,0.0,77.74813217938072,11.291396868387768,11.63444168209179,67.3866352071296,30.35222307984021,1.4118420783282006,27.733408948695782,0.0,75.69999999999999,178.42752613087586,7.536054296412263,8.78083009534964,4.977003270229252,0.0,0.0,0.0,0.0,0.0,10.092786712054421,37.11200563981634,279.0715075246693,0.0,15.018717882161312,2.5068581440150544,-10.41457496285337,-6.768839496394712,-11.247202261626958,-14.554351538969238,-30.695448624334865,0.0,0.4074074074074074,36,2,7,0,3,3,1,2,3,5,2,9,6,0,1,1,6,3.530300000000002,134.40749999999997,0,1,0,0,0,2,1,0,0,0,1,1,0,0,0,4,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
